#OTUID	taxonomy	confidence
Otu000179	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas_gingivalis	0.83
Otu000182	Root;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia	1.0
Otu000183	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptoclostridium;Eubacterium_sp._oral_clone_BB142	0.88
Otu000184	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;uncultured_organism	0.83
Otu000185	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_stutzeri	0.86
Otu000186	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema_2	1.0
Otu000189	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000190	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;Dialister_pneumosintes	0.95
Otu000191	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor;Filifactor_alocis_ATCC_35896	1.0
Otu000194	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_metschnikovii	0.81
Otu000197	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_shahii	0.93
Otu000199	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella	1.0
Otu000201	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;uncultured_bacterium	1.0
Otu000202	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3;uncultured_organism	0.94
Otu000203	Root;Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1.0
Otu000204	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;uncultured_bacterium	1.0
Otu000206	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	1.0
Otu000207	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	1.0
Otu000208	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium_sp._MM70	0.81
Otu000210	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;uncultured_Campylobacter_sp.	0.95
Otu000211	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium	0.88
Otu000212	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;uncultured;uncultured_alpha_proteobacterium	0.89
Otu000214	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured_Lachnospiraceae_bacterium	0.92
Otu000215	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium_aerolatum	0.92
Otu000217	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;uncultured_eubacterium_E1-K14	0.9
Otu000218	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella	1.0
Otu000219	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium_periodonticum	0.8
Otu000221	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	1.0
Otu000226	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;Prevotella_sp._P2A_FAAD4	1.0
Otu000228	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000229	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus_lactis	0.98
Otu000231	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	1.0
Otu000232	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;uncultured_Actinomyces_sp.	0.81
Otu000233	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas_acidaminiphila	1.0
Otu000234	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;uncultured_Ruminococcus_sp.	0.93
Otu000236	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	1.0
Otu000237	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter	1.0
Otu000240	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;uncultured_bacterium	0.92
Otu000241	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	0.97
Otu000242	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	1.0
Otu000243	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium_kishitanii	0.92
Otu000245	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_hydrophila	0.93
Otu000247	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_elkanii	0.98
Otu000248	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio_2	0.99
Otu000249	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;uncultured_bacterium	1.0
Otu000251	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_thermoamylovorans	0.92
Otu000253	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria_oralis	1.0
Otu000256	Root;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella_aerofaciens	0.97
Otu000257	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter	1.0
Otu000260	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_trevisanii	0.99
Otu000261	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria_rhizophila	0.84
Otu000263	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;uncultured_organism	1.0
Otu000264	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000266	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parapusillimonas;uncultured_bacterium	0.94
Otu000269	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1.0
Otu000270	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	1.0
Otu000271	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas_catoniae	0.96
Otu000272	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium	1.0
Otu000275	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group	1.0
Otu000276	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1.0
Otu000278	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured_Ruminococcus_sp.	1.0
Otu000281	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaeroglobus;uncultured_organism	1.0
Otu000283	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;[Pseudomonas]_geniculata	0.88
Otu000284	Root;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	1.0
Otu000285	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.99
Otu000287	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;uncultured_Leptotrichia_sp.	0.85
Otu000288	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema_2	1.0
Otu000289	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_oulorum	1.0
Otu000290	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella_osloensis	1.0
Otu000291	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.88
Otu000295	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus	1.0
Otu000296	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea;uncultured_bacterium	0.99
Otu000297	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	1.0
Otu000298	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae	1.0
Otu000299	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;uncultured_bacterium	0.97
Otu000300	Root;Bacteria	1.0
Otu000302	Root;Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma_salivarium	0.96
Otu000304	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	1.0
Otu000306	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	1.0
Otu000307	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;uncultured_endolithic_bacterium	0.93
Otu000312	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_fragilis	0.96
Otu000314	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured	0.83
Otu000315	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;uncultured_bacterium	1.0
Otu000320	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium]_ventriosum_group	1.0
Otu000322	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1;Ruminococcus_bicirculans	1.0
Otu000325	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;[Eubacterium]_nodatum_group	1.0
Otu000326	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.99
